names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tmem30a,3.486999,0.44966623,0.0004884730576111917,0.01328468730568089,0.8604651162790697,0.5934279044711798,0.7406511,0.58970636
Gm16759,3.486142,0.5842376,0.0004900410985947135,0.013313856743417547,0.47674418604651164,0.24187466331477825,0.24104655,0.16704826
Ero1b,3.4831617,0.8705336,0.0004955290924343091,0.013435788813027129,0.5348837209302325,0.31402406177051534,0.3303157,0.19398542
Hacd2,3.4816213,0.51878184,0.0004983879968346016,0.013499682938453373,0.686046511627907,0.4489495421080984,0.47048667,0.35017413
Gmcl1,3.4802618,0.63498855,0.0005009240602596057,0.013554712486581678,0.7209302325581395,0.48787933201652,0.5519766,0.38824022
Sun1,3.4796991,0.49986345,0.0005019769810390004,0.013569538712794708,0.686046511627907,0.43343508708924405,0.4134279,0.30900413
Asap2,3.4768262,0.58261013,0.0005073866518573038,0.013701989281814828,0.6976744186046512,0.44920093374034836,0.53900164,0.38999513
Pgm2l1,3.4763641,0.52091455,0.0005082617957081225,0.013711841817949048,0.813953488372093,0.6222661159992817,0.87083995,0.67700714
Stmn1,3.4734442,0.45228356,0.0005138243094806868,0.013848003205362142,0.6627906976744186,0.4349434368827438,0.5323624,0.41460758
Cmtr1,3.47031,0.5292341,0.0005198581941612915,0.013996582842799503,0.627906976744186,0.40251391632249955,0.38404122,0.28098235
Crls1,3.469868,1.0541881,0.0005207144206006486,0.014005602083623052,0.43023255813953487,0.22621655593463819,0.25640026,0.1316838
Hrh3,3.4674168,1.6348389,0.0005254864876264994,0.014105716206317722,0.3023255813953488,0.08572454659723469,0.13799566,0.046547104
Kcnip1,3.4651866,0.7595179,0.0005298636660385148,0.014209018669116658,0.46511627906976744,0.231136649308673,0.36871436,0.23378673
Sgcb,3.4632378,0.75025237,0.0005337165624942224,0.014293787945628654,0.46511627906976744,0.2416591847728497,0.22381924,0.13900279
Adgrl1,3.4629297,0.5321246,0.0005343279955631657,0.014293787945628654,0.8023255813953488,0.5775543185491111,0.7029531,0.5336625
Lncpint,3.4627824,0.6615528,0.000534620650738995,0.014293787945628654,0.9534883720930233,0.7490034117435805,1.6160039,1.2668377
Hspa4l,3.4591994,0.47859573,0.0005417836364908267,0.014470900907066118,0.7441860465116279,0.4973963009516969,0.5565011,0.42810765
Pip4k2c,3.4550004,0.87599045,0.0005502921569060914,0.014683565298973857,0.45348837209302323,0.23282456455377984,0.23444347,0.13449568
Selenoi,3.4544444,0.6204047,0.000551427767587922,0.014699269955443914,0.5581395348837209,0.34156940204704617,0.3215226,0.22048621
Akap8l,3.4539557,0.58961016,0.0005524283616376284,0.014711347945691847,0.9069767441860465,0.6512838929789908,0.93717635,0.7089463
Gcn1,3.4519732,0.5846802,0.0005565029220387458,0.014805181698199107,0.6162790697674418,0.38290536900700306,0.36139396,0.25485566
Nr6a1,3.450272,0.5903064,0.0005600216334300756,0.014884056666929903,0.813953488372093,0.6263961213862453,0.93897706,0.7102035
Slc23a2,3.448618,0.5614691,0.0005634632356162268,0.014960728400205547,0.813953488372093,0.5626862991560424,0.68765664,0.5129383
